	Aply16	Aply21	Aply22	Aply23	gb10	gb10f	gb1	gb126	gb1f	gb2	gb278	gb2f	gb305	gb3	gb3f	gb4	gb5	gb56f	gb6	gb7	gb8	gb9	gb9f	Pf10	Pf11	Pf12	Pf4	Pf5	Pf6	Pf7	Pf8	Pf9	sw7	sw8	sw9
gb|Aply16_c00034_NODE_34...region001|GC_DNA--Entryname=terpene--OS=34_length_140428_cov_10_335812--SMASHregion=region001--NR=2	5.26925259658912	3.3580820670175227	4.500817240481717	3.892771514013893	3.0522226499705307	0.0	1.8097391624135224	0.0	0.0	3.369749748137207	0.0	0.0	0.7517678425941682	3.4612189466987155	0.0	3.5672566043137053	3.383656505315026	0.0	3.021385392343066	3.8284226188018664	3.185966100944218	3.5539272784473295	0.0	0.0	0.0	0.0	2.921823907169355	0.9280915237953058	2.614603595088764	0.0	2.5067838403725586	0.0	0.0	0.0	0.0
gb|Aply16_c03244_NODE_32...region001|GC_DNA--Entryname=lassopeptide--OS=3244_length_8220_cov_4_477526--SMASHregion=region001--NR=1	6.317439657949416	4.576796252865768	6.517129046066179	7.93060242754396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply21_c00112_NODE_11...region001|GC_DNA--Entryname=terpene--OS=112_length_86670_cov_10_857403--SMASHregion=region001--NR=1	3.386221102738718	6.250621515698691	3.022686301557159	3.955455282381704	3.6717426220422626	0.0	2.7464703713263967	0.0	0.0	4.005929047059827	0.0	0.0	0.9673306895955832	4.050189139384269	0.0	3.7466573010268487	3.7584819160061005	0.0	3.234907923053838	3.9475047715131737	3.409563291392563	3.6098368500906943	0.0	0.0	0.0	0.0	3.5397307892054117	0.3684853871574894	1.6419642686779514	0.0	2.2443672664924055	0.2461119612656863	0.0	2.5661128220006724	0.0
gb|Aply21_c00383_NODE_38...region001|GC_DNA--Entryname=bacteriocin--OS=383_length_36974_cov_9_569219--SMASHregion=region001--NR=1	2.0794473704531824	5.9348261524521	2.561454678231869	3.779048129438857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply21_c00485_NODE_48...region001|GC_DNA--Entryname=bacteriocin--OS=485_length_30273_cov_5_804719--SMASHregion=region001--NR=1	1.145450072333288	3.892985220308341	0.7245491019414882	0.885009438541538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply21_c00613_NODE_61...region001|GC_DNA--Entryname=NRPS-like--OS=613_length_23736_cov_6_410582--SMASHregion=region001--NR=1	0.9062093654695992	5.694590982719152	0.6457404248511103	0.5738657411050219	2.7124550241550356	0.0	2.7917286226698366	1.9751424247207325	0.0	2.817852833185773	1.042117910767565	0.0	0.702172967619626	2.3213307252234143	0.0	2.706656951089503	2.46955021902915	0.0	2.8631531327676654	3.0758904542414456	2.6600498504479613	2.456510467075664	0.0	0.08271239547129929	0.0	0.31180317892604775	0.0	0.0	0.0	0.0	0.42307146239816523	0.08548205134586999	0.0	0.0	0.0
gb|Aply21_c00965_NODE_96...region001|GC_DNA--Entryname=T1PKS--OS=965_length_14639_cov_3_010354--SMASHregion=region001--NR=1	0.0	5.83601703645425	0.335176479392253	2.835638417484135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4455536111563737	0.47631045701895475	0.0	0.0	1.744650985396083	0.0	0.9138561228056862	0.3750957115483037	0.0	0.0	0.0
gb|Aply21_c01274_NODE_12...region001|GC_DNA--Entryname=terpene--OS=1274_length_11343_cov_15_765326--SMASHregion=region001--NR=1	4.1109803125743145	7.261514726007657	3.7263227792662836	4.074216038826144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply21_c01303_NODE_13...region001|GC_DNA--Entryname=T1PKS--OS=1303_length_11109_cov_4_353899--SMASHregion=region001--NR=1	3.8339511554397303	6.536716957940755	5.050385002777055	5.781750148919311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gb|Aply21_c03266_NODE_32...region001|GC_DNA--Entryname=terpene--OS=3266_length_6137_cov_0_219829--SMASHregion=region001--NR=1	0.0	2.4262700247723616	0.0	1.2732435142750838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
