BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
Aply16_c00005_NODE_5_...region001	c00005_NODE_5_..	NODE_5_length_288752_cov_6.576393	T1PKS	PKSI		
Aply16_c00012_NODE_12...region001	c00012_NODE_12..	NODE_12_length_201542_cov_11.512688	NRPS-like	NRPS		
Aply16_c00016_NODE_16...region001	c00016_NODE_16..	NODE_16_length_186259_cov_6.986504	betalactone	Others		
Aply16_c00019_NODE_19...region001	c00019_NODE_19..	NODE_19_length_176338_cov_10.132577	terpene	Terpene		
Aply16_c00030_NODE_30...region001	c00030_NODE_30..	NODE_30_length_148558_cov_6.039171	terpene	Terpene		
Aply16_c00031_NODE_31...region001	c00031_NODE_31..	NODE_31_length_146238_cov_8.521415	T1PKS	PKSI		
Aply16_c00034_NODE_34...region001	c00034_NODE_34..	NODE_34_length_140428_cov_10.335812	terpene	Terpene		
Aply16_c00039_NODE_39...region001	c00039_NODE_39..	NODE_39_length_133649_cov_7.104473	NRPS-like	NRPS		
Aply16_c00040_NODE_40...region001	c00040_NODE_40..	NODE_40_length_133133_cov_8.272261	T1PKS	PKSI		
Aply16_c00041_NODE_41...region001	c00041_NODE_41..	NODE_41_length_131341_cov_6.119480	terpene	Terpene		
Aply16_c00055_NODE_55...region001	c00055_NODE_55..	NODE_55_length_115174_cov_8.521669	NRPS-like	NRPS		
Aply16_c00059_NODE_59...region001	c00059_NODE_59..	NODE_59_length_111467_cov_8.162352	TfuA-related.proteusin.bacteriocin	RiPPs		
Aply16_c00104_NODE_10...region001	c00104_NODE_10..	NODE_104_length_88018_cov_7.644964	terpene	Terpene		
Aply16_c00128_NODE_12...region001	c00128_NODE_12..	NODE_128_length_79022_cov_11.612902	bacteriocin	RiPPs		
Aply16_c00159_NODE_15...region001	c00159_NODE_15..	NODE_159_length_71344_cov_9.527150	NRPS-like	NRPS		
Aply16_c00169_NODE_16...region001	c00169_NODE_16..	NODE_169_length_69078_cov_12.154543	terpene	Terpene		
Aply16_c00171_NODE_17...region001	c00171_NODE_17..	NODE_171_length_68840_cov_8.183485	T1PKS	PKSI		
Aply16_c00181_NODE_18...region001	c00181_NODE_18..	NODE_181_length_67501_cov_10.100199	terpene	Terpene		
Aply16_c00222_NODE_22...region001	c00222_NODE_22..	NODE_222_length_56845_cov_9.102641	terpene	Terpene		
Aply16_c00232_NODE_23...region001	c00232_NODE_23..	NODE_232_length_56110_cov_8.411649	terpene	Terpene		
Aply16_c00240_NODE_24...region001	c00240_NODE_24..	NODE_240_length_55359_cov_9.780088	LAP.bacteriocin	RiPPs		
Aply16_c00257_NODE_25...region001	c00257_NODE_25..	NODE_257_length_53191_cov_4.422915	NRPS-like	NRPS		
Aply16_c00303_NODE_30...region001	c00303_NODE_30..	NODE_303_length_48110_cov_4.736448	terpene	Terpene		
