#BGC Name	Family Number
Aply16_c00005_NODE_5_...region001	0
Aply22_c00015_NODE_15...region001	0
Aply16_c00031_NODE_31...region001	5
Aply22_c00055_NODE_55...region001	5
Aply16_c00034_NODE_34...region001	6
Aply21_c00112_NODE_11...region001	6
Aply22_c00242_NODE_24...region001	6
Aply16_c00040_NODE_40...region001	8
Aply16_c00128_NODE_12...region001	13
Aply21_c00552_NODE_55...region001	13
Aply22_c02188_NODE_21...region001	13
Aply23_c00729_NODE_72...region001	13
Aply16_c00529_NODE_52...region001	27
Aply22_c02265_NODE_22...region001	27
Aply16_c00787_NODE_78...region001	30
Aply22_c00285_NODE_28...region001	30
Aply16_c01065_NODE_10...region001	37
Aply22_c02034_NODE_20...region001	37
Aply23_c01346_NODE_13...region001	37
Aply16_c01167_NODE_11...region001	38
Aply22_c03315_NODE_33...region001	38
Aply16_c01507_NODE_15...region001	43
Aply21_c01131_NODE_11...region001	43
Aply22_c02928_NODE_29...region001	43
Aply16_c02157_NODE_21...region001	54
Aply22_c03453_NODE_34...region001	54
Aply16_c02292_NODE_22...region001	57
Aply22_c06119_NODE_61...region001	57
Aply16_c02657_NODE_26...region001	58
Aply22_c03229_NODE_32...region001	58
Aply16_c03244_NODE_32...region001	63
Aply16_c06721_NODE_67...region001	83
Aply22_c05034_NODE_50...region001	83
Aply21_c00003_NODE_3_...region001	88
Aply23_c00382_NODE_38...region001	88
Aply16_c01576_NODE_15...region001	91
Aply16_c01615_NODE_16...region001	91
Aply21_c00016_NODE_16...region001	91
Aply22_c03623_NODE_36...region001	91
Aply23_c00373_NODE_37...region001	91
Pf8_c03138_NODE_31...region001	91
Pf8_c07701_NODE_77...region001	91
Aply21_c00064_NODE_64...region001	92
Aply22_c00127_NODE_12...region001	92
Aply21_c00079_NODE_79...region001	93
Aply22_c00010_NODE_10...region001	93
Aply23_c04023_NODE_40...region001	93
Pf11_c03000_NODE_30...region001	93
Pf6_c17488_NODE_17...region001	93
Pf9_c00033_NODE_33...region001	93
